request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_46,39452.76,affordable_with_plan,partial_payment,2024-12-03:39452.76|2024-12-15:9997.24,2024-12-15,none,"Regarding “I would like to repay an additional INR 49,450.”: pay INR 39452.76 today and the remaining INR 9997.24 later. This completes the full request and keeps the INR 84000 minimum protected."
request_47,10912620.02,not_affordable,not_recommended,none,,none,"Regarding “What is the most I can put toward this repair right now? I need to decide by 19 June 2025.”: do not proceed with the IDR 38114000 request. Although IDR 10912620.02 is available today, the full amount cannot be completed safely within 90 days. Using unconfirmed credits ignored."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Regarding “I want to send INR 45,700 to my family.”: pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days."
request_49,12312944.46,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-15,none,"Regarding “How much can I safely put toward the booking today? I've found a travel option for IDR 34,333,000.”: use 3 installments of IDR 11902106.67, starting 2024-03-18. This leaves at least IDR 20275700 available. Using confirmed pay IDR 31464000."
request_50,0,not_affordable,not_recommended,none,,none,"Regarding “The family trip will cost INR 43,900.”: do not make this payment by 2025-08-21. None of the available options keeps the INR 99700 minimum protected. Using confirmed pay INR 126000; no further salary projected."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Regarding “Is it safer to invest now, invest a smaller amount, or wait? I need to decide by 28 February 2026.”: pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days."
request_52,19041.62,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Regarding “The latest estimate for the repair is INR 28,870.”: pay INR 28870 in full on 2024-06-15. Paying earlier would take the balance below the INR 41500 minimum. Using confirmed pay INR 69000 from 2024-06-15."
request_53,467.44,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2026-01-15,none,"Regarding “Is the laptop affordable right now, or should I wait? The laptop comes to USD 1,699.20.”: use 3 installments of USD 589.06, starting 2025-11-21. This leaves at least USD 2100 available. Using unconfirmed credits ignored."
request_54,1548.42,not_affordable,not_recommended,none,,none,"Regarding “The move requires a ZAR 121,528 deposit.”: do not proceed with the ZAR 121528 request. Although ZAR 1548.42 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay ZAR 42460 from 2026-07-15."
request_55,136034.56,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Regarding “How much can I safely send to my family today? I need to decide by 22 August 2026.”: use 3 installments of INR 75781.33, starting 2026-06-11. This leaves at least INR 124300 available."
request_56,631.74,affordable_with_plan,partial_payment,2025-02-03:631.74|2025-02-15:249.82,2025-02-15,none,Regarding “I've found a laptop for USD 881.56.”: pay USD 631.74 today and the remaining USD 249.82 later. This completes the full request and keeps the USD 2100 minimum protected.
request_57,14512.32,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Regarding “Can I pay for the course before enrolment closes? I'm considering a professional course priced at ZAR 61,446.”: pay ZAR 61446 in full on 2026-06-15. Paying earlier would take the balance below the ZAR 42700 minimum. Using internal transfers ignored."
request_58,0,not_affordable,not_recommended,none,,none,"Regarding “The additional loan payment would be IDR 16,226,000.”: do not make this payment by 2025-01-25. None of the available options keeps the IDR 14433900 minimum protected. Using confirmed pay IDR 25840000 from 2024-05-18; no further salary projected."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Regarding “Would investing this amount leave my upcoming bills covered? I need to decide by 2 July 2025.”: use 3 installments of INR 48741.33, starting 2025-05-07. This leaves at least INR 132600 available. Using unconfirmed credits ignored."
request_60,129.68,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Regarding “I need USD 199.89 for the rental deposit.”: pay USD 199.89 in full on 2026-01-15. Paying earlier would take the balance below the USD 400 minimum. Using confirmed pay USD 530.4.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Regarding “Would paying for the laptop today leave enough for my regular expenses? I've been quoted ZAR 29,062 for the laptop.”: use 3 installments of ZAR 10074.83, starting 2024-03-17. This leaves at least ZAR 36700 available. Using seasonal/assignment pay still projected after this contract."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Regarding “I have USD 404.23 in mind as an extra loan payment.”: pay USD 404.23 today. This leaves at least USD 1300 available over the next 90 days. Using confirmed invoice USD 2112 on 2025-08-15.
request_63,47384.66,not_affordable,not_recommended,none,,none,"Regarding “Is the laptop affordable right now, or should I wait? I need to decide by 17 September 2026.”: do not proceed with the INR 343900 request. Although INR 47384.66 is available today, the full amount cannot be completed safely within 90 days."
request_64,0,not_affordable,not_recommended,none,,none,"Regarding “I've been offered the annual membership for INR 63,700.”: do not make this payment by 2024-08-16. None of the available options keeps the INR 36100 minimum protected. Using unconfirmed credits ignored."
request_65,5670.18,not_affordable,not_recommended,none,,none,"Regarding “Can I pay for the annual membership now without affecting my regular expenses? The annual membership costs ZAR 54,340.”: do not proceed with the ZAR 54340 request. Although ZAR 5670.18 is available today, the full amount cannot be completed safely within 90 days. Using unconfirmed credits ignored."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Regarding “The latest estimate for the repair is INR 22,200.”: pay INR 22200 today. This leaves at least INR 80700 available over the next 90 days. Using confirmed invoice INR 116000 on 2026-04-15."
request_67,303.32,affordable_later,wait,2024-11-15:2094,2024-11-15,none,Regarding “What is the most I can put toward this repair right now? I need to decide by 15 November 2024.”: pay USD 2094 in full on 2024-11-15. Paying earlier would take the balance below the USD 1200 minimum.
request_68,1369.16,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-03-23,none,"Regarding “The extra repayment I'm considering is USD 2,091.60.”: use 3 installments of USD 725.09, starting 2025-02-14. This leaves at least USD 1500 available. Using payday moved to 2025-02-23."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Regarding “Would investing this amount leave my upcoming bills covered? I want to put EUR 529.10 into an investment.”: pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days. Using rent +12%.
request_70,48591.28,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Regarding “The full-year membership is INR 243,900.”: pay INR 243900 in full on 2025-02-15. Paying earlier would take the balance below the INR 115000 minimum."
request_71,0,not_affordable,not_recommended,none,,none,Regarding “Can I pay the rental deposit by the requested date? I need to decide by 28 May 2025.”: do not make this payment by 2025-05-28. None of the available options keeps the IDR 8884800 minimum protected. Using confirmed pay IDR 696 from 2025-05-15.
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Regarding “I'm planning to send my family ZAR 11,330.”: pay ZAR 11330 today. This leaves at least ZAR 12200 available over the next 90 days. Using confirmed pay ZAR 18700 from 2026-07-15; unconfirmed credits ignored."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Regarding “Can I cover the full repair now and still manage my essential expenses? The latest estimate for the repair is INR 71,400.”: pay INR 71400 today. This leaves at least INR 103200 available over the next 90 days. Using rent +12%."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Regarding “I would like to repay an additional ZAR 5,010.”: pay ZAR 5010 today. This leaves at least ZAR 21900 available over the next 90 days. Using confirmed invoice ZAR 26180 on 2025-08-15."
request_75,15464.26,not_affordable,not_recommended,none,,none,"Regarding “Should I pay for the repair in full, split the payment, or wait? I need to decide by 12 June 2026.”: do not proceed with the ZAR 28270 request. Although ZAR 15464.26 is available today, the full amount cannot be completed safely within 90 days. Using no further salary projected."
request_76,678.24,not_affordable,not_recommended,none,,none,"Regarding “Renewing the membership would cost USD 4,455.60.”: do not proceed with the USD 4455.60 request. Although USD 678.24 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay USD 3072; unconfirmed credits ignored."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Regarding “How much of the rental deposit can I safely pay today? The rental deposit is INR 60,700.”: pay INR 60700 today. This leaves at least INR 82200 available over the next 90 days. Using unconfirmed credits ignored."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Regarding “The laptop I'm looking at is INR 50,200.”: pay INR 50200 today. This leaves at least INR 55200 available over the next 90 days."
request_79,350.86,not_affordable,not_recommended,none,,none,"Regarding “Can I buy the laptop now without making next month's bills tight? I need to decide by 1 November 2024.”: do not proceed with the EUR 2151.60 request. Although EUR 350.86 is available today, the full amount cannot be completed safely within 90 days."
request_80,108899.18,not_affordable,not_recommended,none,2025-04-15,none,"Regarding “I'm considering paying an extra INR 217,500 off the loan.”: do not proceed with the INR 217500 request. Although INR 108899.18 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay INR 158000."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Regarding “Does paying for the trip now leave enough for the rest of the month? I'm planning a family trip that costs USD 2,076.”: pay USD 2076 today. This leaves at least USD 1600 available over the next 90 days. Using rent +12%."
request_82,0,not_affordable,not_recommended,none,,none,"Regarding “I've been asked to transfer USD 1,405.20 to my family.”: do not make this payment by 2025-02-15. None of the available options keeps the USD 1100 minimum protected. Using confirmed pay USD 1752 from 2025-02-14."
request_83,6768.68,not_affordable,not_recommended,none,,none,"Regarding “Can I complete this family transfer and still keep my minimum balance? I need to decide by 17 June 2025.”: do not proceed with the INR 156200 request. Although INR 6768.68 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay INR 62000 from 2025-05-15; childcare."
request_84,28124.66,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Regarding “Enrolment for the course comes to INR 95,400.”: pay INR 95400 in full on 2026-05-15. Paying earlier would take the balance below the INR 91300 minimum."
request_85,371432.72,not_affordable,not_recommended,none,,none,"Regarding “Is the deposit affordable now, or do I need more time? I need to pay a IDR 19,304,000 rental deposit.”: do not proceed with the IDR 19304000 request. Although IDR 371432.72 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay IDR 8618400."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Regarding “The current quote for the trip is INR 46,300.”: pay INR 46300 today. This leaves at least INR 84900 available over the next 90 days."
request_87,28604.76,not_affordable,not_recommended,none,,none,"Regarding “Would committing to the membership leave enough for my upcoming bills? I need to decide by 15 March 2026.”: do not proceed with the INR 487900 request. Although INR 28604.76 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay INR 251000 from 2026-01-15; childcare payment."
request_88,10697.32,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Regarding “I need ZAR 26,092 for the rental deposit.”: use 3 installments of ZAR 9045.23, starting 2024-06-14. This leaves at least ZAR 25800 available. Using unconfirmed credits ignored."
request_89,9890069.28,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,none,"Regarding “Is the full membership fee affordable today, or should I wait? I'm considering a yearly membership for IDR 13,756,000.”: use 3 installments of IDR 4768746.67, starting 2025-11-18. This leaves at least IDR 12534700 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Regarding “I have ZAR 2,560 in mind as an extra loan payment.”: pay ZAR 2560 today. This leaves at least ZAR 7600 available over the next 90 days. Using confirmed invoice ZAR 13420 on 2026-07-15."
request_91,407.08,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,Regarding “The repair cannot wait.”: pay EUR 1927.20 in full on 2024-11-15. Paying earlier would take the balance below the EUR 2100 minimum.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Regarding “I'm considering a professional course priced at ZAR 34,034.”: pay ZAR 34034 today. This leaves at least ZAR 28100 available over the next 90 days. Using confirmed pay ZAR 49280; unconfirmed credits ignored."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Regarding “Can I book the family trip now and still cover my usual expenses? The current quote for the trip is USD 1,729.20.”: pay USD 1729.20 today. This leaves at least USD 1900 available over the next 90 days. Using unconfirmed credits ignored."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Regarding “The deposit on the place comes to EUR 572.”: pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days. Using confirmed invoice EUR 924 on 2024-12-15.
request_95,15310.32,not_affordable,not_recommended,none,,none,"Regarding “How much of the course fee can I manage without cutting into essentials? I need to decide by 14 July 2025.”: do not proceed with the INR 553000 request. Although INR 15310.32 is available today, the full amount cannot be completed safely within 90 days. Using payday moved to 2025-05-23."
request_96,72098.74,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Regarding “I've been quoted INR 90,200 for the laptop.”: use 3 installments of INR 31269.33, starting 2026-01-10. This leaves at least INR 56500 available."
request_97,1423.54,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Regarding “How much of the rental deposit can I safely pay today? I've been asked to pay ZAR 23,496 as the rental deposit.”: use 3 installments of ZAR 8145.28, starting 2024-03-19. This leaves at least ZAR 29700 available."
request_98,0,not_affordable,not_recommended,none,,none,"Regarding “I've found a travel option for ZAR 27,148.”: do not make this payment by 2025-10-15. None of the available options keeps the ZAR 30000 minimum protected. Using confirmed pay ZAR 1804 from 2025-08-15."
request_99,17777.50,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Regarding “Would paying the repair bill today take me below the balance I need to keep? I need to decide by 14 July 2026.”: Apply reduce Family dinner to ZAR 1065.90, then pay ZAR 18062 today. This leaves at least ZAR 49100 available over the next 90 days."
request_100,26755.60,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Regarding “I'm considering a ZAR 37,114 laptop.”: use 3 installments of ZAR 12866.19, starting 2024-06-13. This leaves at least ZAR 32500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Regarding “Is it safer to invest now, invest a smaller amount, or wait? I'm considering setting aside INR 143,500 for an investment.”: pay INR 143500 today. This leaves at least INR 187400 available over the next 90 days. Using unconfirmed credits ignored."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Regarding “The laptop comes to EUR 1,716.”: use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available. Using confirmed invoice EUR 1419 on 2026-04-15."
request_103,2216.88,not_affordable,not_recommended,none,,none,"Regarding “Can I book the family trip now and still cover my usual expenses? I need to decide by 7 October 2024.”: do not proceed with the INR 368300 request. Although INR 2216.88 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay INR 164880 from 2024-05-01."
request_104,6931.14,not_affordable,not_recommended,none,,none,"Regarding “The laptop costs ZAR 17,204.”: do not proceed with the ZAR 17204 request. Although ZAR 6931.14 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay ZAR 35860; unconfirmed credits ignored."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Regarding “Can I clear this additional amount without putting upcoming bills at risk? I'm planning an extra loan payment of INR 53,500.”: pay INR 53500 today. This leaves at least INR 73900 available over the next 90 days."
request_106,458.14,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Regarding “I'm considering a professional course priced at EUR 2,207.70.”: pay EUR 2207.70 in full on 2025-02-15. Paying earlier would take the balance below the EUR 1200 minimum. Using confirmed pay EUR 1815 from 2024-12-15."
request_107,2427.58,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Regarding “How much of the rental deposit can I safely pay today? I need to decide by 4 July 2025.”: use 3 installments of EUR 878.59, starting 2025-05-08. This leaves at least EUR 1600 available. Using confirmed pay EUR 2123 from 2025-05-15; unconfirmed credits ignored."
request_108,1636,not_affordable,not_recommended,none,,none,"Regarding “The course I want to take is ZAR 55,308.”: do not proceed with the ZAR 55308 request. Although ZAR 1636 is available today, the full amount cannot be completed safely within 90 days. Using confirmed pay ZAR 33440; unconfirmed credits ignored."
request_109,664.68,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Regarding “Would sending the money now leave enough for my upcoming expenses? The amount I want to send is EUR 1,863.40.”: use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Regarding “I've been asked to transfer ZAR 22,352 to my family.”: use 3 installments of ZAR 7748.69, starting 2025-08-06. This leaves at least ZAR 11200 available. Using confirmed invoice ZAR 16720 on 2025-08-15."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Regarding “Is the full extra repayment safe, or should I pay a smaller amount? I need to decide by 2 May 2026.”: pay IDR 16625000 today. This leaves at least IDR 23022800 available over the next 90 days. Using no further salary projected."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Regarding “My family needs a transfer of EUR 271.70.”: pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days. Using confirmed pay EUR 627 from 2024-06-15; unconfirmed credits ignored.
request_113,0,not_affordable,not_recommended,none,,none,"Regarding “How much extra can I put toward the loan today? I want to put another INR 36,500 toward my loan.”: do not make this payment by 2026-10-19. None of the available options keeps the INR 82300 minimum protected. Using confirmed pay INR 1296 from 2026-09-15."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Regarding “The annual membership costs INR 65,300.”: pay INR 65300 today. This leaves at least INR 113400 available over the next 90 days. Using confirmed pay INR 148200."
request_115,14426.44,affordable_later,wait,2024-11-15:80500,2024-11-15,none,Regarding “Can I pay for the annual membership now without affecting my regular expenses? I need to decide by 15 November 2024.”: pay INR 80500 in full on 2024-11-15. Paying earlier would take the balance below the INR 38800 minimum. Using unconfirmed credits ignored.
request_116,7997.10,not_affordable,not_recommended,none,,none,"Regarding “The amount I want to send is INR 241,200.”: do not proceed with the INR 241200 request. Although INR 7997.10 is available today, the full amount cannot be completed safely within 90 days."
request_117,846.90,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833|reduce_to:event_10878:20.50,"Regarding “El depósito de alquiler es de EUR 880.”: Apply stop Family streaming plan; reduce Weekend food delivery to EUR 20.50, then pay EUR 880 today. This leaves at least EUR 1000 available over the next 90 days. Using confirmed pay EUR 1188 from 2026-07-15."
request_118,682.38,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Regarding “I've been asked to pay EUR 738.10 as the rental deposit.”: use 3 installments of EUR 255.87, starting 2024-12-07. This leaves at least EUR 600 available. Using confirmed pay EUR 759."
request_119,59234.28,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,reduce_to:event_11057:2370,"Regarding “Would paying the course fee now leave enough for my regular commitments? I need to decide by 17 July 2025.”: use 3 installments of INR 70546.67, starting 2025-05-18. This leaves at least INR 151200 available. Using confirmed pay INR 176000 from 2025-05-15; childcare payment."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Regarding “I have an opportunity to invest IDR 7,714,000.”: pay IDR 7714000 today. This leaves at least IDR 20050300 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Regarding “Is the full extra repayment safe, or should I pay a smaller amount? The additional loan payment would be USD 633.60.”: pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Regarding “The membership fee is IDR 20,558,000 for the year.”: use 3 installments of IDR 7126773.33, starting 2025-08-05. This leaves at least IDR 12588500 available. Using confirmed invoice IDR 15390000 on 2025-08-15."
request_123,1666964.84,not_affordable,not_recommended,none,,none,"Regarding “What portion can I invest today without going below my minimum balance? I need to decide by 28 March 2026.”: do not proceed with the IDR 4076000 request. Although IDR 1666964.84 is available today, the full amount cannot be completed safely within 90 days. Using unconfirmed credits ignored."
request_124,1403.06,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Regarding “I'm considering a yearly membership for EUR 3,104.20.”: use 3 installments of EUR 1076.12, starting 2024-06-11. This leaves at least EUR 1600 available."
request_125,0,not_affordable,not_recommended,none,,none,"Regarding “Would it be safer to book the trip now or wait until more money comes in? I can book the family trip for ZAR 6,468.”: do not make this payment by 2025-11-14. None of the available options keeps the ZAR 11300 minimum protected. Using confirmed pay ZAR 748 from 2025-11-15."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Regarding “I need to cover an urgent repair of INR 159,600.”: pay INR 159600 today. This leaves at least INR 129700 available over the next 90 days. Using confirmed invoice INR 152000 on 2026-07-15."
request_127,8478.24,affordable_later,wait,2024-10-15:23980,2024-10-15,none,Regarding “Can I make the full transfer without falling short on my own bills? I need to decide by 18 October 2024.”: pay ZAR 23980 in full on 2024-10-15. Paying earlier would take the balance below the ZAR 41000 minimum. Using confirmed pay ZAR 50160 from 2024-09-15; childcare.
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Regarding “I need ZAR 25,168 for the course fee.”: pay ZAR 25168 today. This leaves at least ZAR 42600 available over the next 90 days. Using unconfirmed credits ignored."
request_129,153.16,not_affordable,not_recommended,none,,none,"Regarding “Would paying the course fee now leave enough for my regular commitments? The course I want to take is USD 2,668.80.”: do not proceed with the USD 2668.80 request. Although USD 153.16 is available today, the full amount cannot be completed safely within 90 days. Using unconfirmed credits ignored."
request_130,352.90,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Regarding “The amount I want to send is USD 1,978.80.”: pay USD 1978.80 in full on 2025-02-15. Paying earlier would take the balance below the USD 1400 minimum. Using confirmed pay USD 2177.28."
